Date,Open,High,Low,Close,Adj Close,Volume
2016-04-13,67.240143,67.750893,67.025093,67.607529,56.552261,1395781
2016-04-14,67.903229,68.297493,67.697136,68.181007,57.031963,1762164
2016-04-15,67.544800,67.867386,67.329750,67.786736,56.702171,2333891
2016-04-18,67.948029,68.754478,67.912186,68.369179,57.189369,1874545
2016-04-19,68.924728,69.336922,68.655914,68.960571,57.684063,2295054
2016-04-20,68.754478,68.826164,68.145164,68.629028,57.406723,1972530
2016-04-21,68.503586,68.906807,68.109322,68.351257,57.174374,1804460
2016-04-22,68.315414,68.566307,68.109322,68.530464,57.324284,4323272
2016-04-25,69.059143,69.059143,68.413979,68.548386,57.339275,4715546
2016-04-26,69.032257,69.086021,68.494621,68.897850,57.631592,3280482
2016-04-27,68.629028,69.148743,68.620071,68.978493,57.699047,2791004
2016-04-28,68.817207,69.274193,68.593193,68.826164,57.571629,2522718
2016-04-29,68.727600,68.790321,67.777779,68.073479,56.942024,2574612
2016-05-02,68.494621,68.862007,68.360214,68.853050,57.594116,4506520
2016-05-03,68.503586,68.602150,68.037636,68.198921,57.046959,2375183
2016-05-04,67.195343,67.249107,66.496414,66.603943,55.712784,2423840
2016-05-05,66.469536,66.621864,66.111115,66.415771,55.555386,1721095
2016-05-06,65.250893,65.600357,64.937279,65.456985,54.753380,2463124
2016-05-09,66.308243,66.881721,66.245522,66.756271,55.840206,2545596
2016-05-10,67.204300,67.535843,67.043015,67.491035,56.454823,2152429
2016-05-11,67.329750,67.750893,67.258064,67.329750,56.319912,1798657
2016-05-12,67.670250,67.732971,66.827957,67.096771,56.125031,1702793
2016-05-13,66.926521,67.517921,66.881721,66.962364,56.012596,1560280
2016-05-16,66.836922,67.813622,66.774193,67.768814,56.687180,1243336
2016-05-17,67.284943,68.064514,67.213264,67.840500,56.747143,2939321
2016-05-18,67.840500,68.369179,67.392471,67.912186,56.807102,2460668
2016-05-19,67.016129,67.338707,66.612900,66.926521,55.982616,2199859
2016-05-20,67.697136,67.983871,67.652328,67.912186,56.807102,1174478
2016-05-23,69.731186,70.134407,69.453407,70.008965,58.561016,5637809
2016-05-24,69.847672,70.519714,69.811829,70.268814,58.778374,1929787
2016-05-25,71.317207,71.765236,71.012543,71.594978,59.887676,2530865
2016-05-26,71.711472,71.926521,71.603943,71.810036,60.067577,1768079
2016-05-27,72.007172,72.025093,71.675629,71.783157,60.045086,1424239
2016-05-31,71.783157,71.980286,70.896057,71.245522,59.595367,1819861
2016-06-01,71.496414,71.657707,71.263443,71.353050,59.685314,2234790
2016-06-02,71.899643,72.473122,71.881721,72.320786,60.494801,2900819
2016-06-03,72.222221,72.706093,71.818993,72.535843,60.674698,1292998
2016-06-06,72.625450,73.064514,72.625450,72.858421,60.944527,1053504
2016-06-07,73.440857,73.449821,73.100357,73.127243,61.169388,1720760
2016-06-08,72.822578,73.001793,72.553764,72.930107,61.004494,1733036
2016-06-09,72.338707,72.652328,71.980286,72.141579,60.344898,1180058
2016-06-10,70.672043,70.994621,70.448029,70.734764,59.168129,1578805
2016-06-13,69.659500,70.125450,69.256271,69.292114,57.961388,2456874
2016-06-14,68.754478,68.933693,68.279572,68.709679,57.474190,1896530
2016-06-15,68.862007,69.184586,68.396057,68.440857,57.249329,1560614
2016-06-16,68.109322,68.924728,67.455200,68.897850,57.631592,1817183
2016-06-17,70.035843,70.143372,69.462364,69.811829,58.396111,3741948
2016-06-20,71.478493,71.550179,70.465950,70.492828,58.965755,2573496
2016-06-21,71.057350,71.487457,70.761650,71.200714,59.557884,2713666
2016-06-22,71.030464,72.007172,71.030464,71.424728,59.745266,3218990
2016-06-23,72.016129,72.329750,71.514336,72.284943,60.464828,1729465
2016-06-24,69.327957,71.111115,69.068100,69.086021,57.788990,3539282
2016-06-27,69.775986,69.811829,68.602150,69.211472,57.893925,2992108
2016-06-28,70.537636,71.353050,70.340500,71.317207,59.655331,1810375
2016-06-29,72.759857,73.109322,72.500000,72.741936,60.847092,2844014
2016-06-30,73.154121,73.996414,72.750893,73.933693,61.843971,1908137
2016-07-01,73.933693,74.220428,73.853050,74.112900,61.993866,1159412
2016-07-05,73.279572,73.620071,72.965950,73.225807,61.251831,1758035
2016-07-06,72.697136,73.548386,72.446236,73.494621,61.476688,1501578
2016-07-07,73.216843,73.620071,72.956985,73.297493,61.311802,1450465
2016-07-08,73.145164,73.763443,73.055557,73.593193,61.559151,1266325
2016-07-11,73.960571,74.059143,73.691757,73.754478,61.694054,958532
2016-07-12,73.270607,73.467743,73.055557,73.189964,61.221859,1909364
2016-07-13,73.557350,73.754478,73.315414,73.503586,61.484200,1301033
2016-07-14,73.324371,73.539429,73.243729,73.494621,61.476688,1117004
2016-07-15,73.270607,73.476700,72.992828,73.127243,61.169388,1442095
2016-07-18,73.405022,73.637993,73.216843,73.512543,61.491688,1771650
2016-07-19,72.795700,73.360214,72.795700,73.055557,61.109432,1788613
2016-07-20,73.476700,74.543015,73.405022,74.390678,62.226227,1790622
2016-07-21,74.408600,74.623657,74.059143,74.139786,62.016357,888782
2016-07-22,74.784943,74.892471,74.534050,74.829750,62.593498,1261080
2016-07-25,74.686378,74.838707,74.023300,74.784943,62.556019,1501690
2016-07-26,74.516129,74.802864,74.238350,74.390678,62.226227,1128499
2016-07-27,73.817207,74.381721,73.718636,74.274193,62.128788,1303488
2016-07-28,73.942650,73.996414,73.091400,73.548386,61.521664,1734041
2016-07-29,74.121864,74.713264,73.870972,74.605736,62.406116,1790957
2016-08-01,73.933693,74.784943,73.906807,74.435486,62.263706,1032523
2016-08-02,74.659500,74.695343,74.023300,74.336922,62.181259,1436962
2016-08-03,73.288528,73.906807,73.279572,73.835129,61.761517,1468433
2016-08-04,73.808243,74.363800,73.808243,74.283157,62.136292,934427
2016-08-05,74.175629,74.578850,74.103943,74.480286,62.301174,1486066
2016-08-08,73.772400,74.014336,73.620071,73.727600,61.671581,990004
2016-08-09,73.655914,74.220428,73.646950,74.050179,61.941402,994802
2016-08-10,73.978493,74.032257,73.440857,73.727600,61.671581,1298689
2016-08-11,73.844086,74.354836,73.781364,74.193550,62.061337,883537
2016-08-12,73.718636,73.835129,73.387100,73.548386,61.521664,1524679
2016-08-15,73.530464,74.094978,73.530464,73.781364,61.716545,1105956
2016-08-16,73.637993,73.915771,73.270607,73.270607,61.289303,1241327
2016-08-17,73.225807,73.387100,72.876343,73.279572,61.296810,956077
2016-08-18,73.019714,73.449821,72.983871,73.422935,61.416729,767696
2016-08-19,73.001793,73.028671,72.643372,72.885307,60.967018,1230167
2016-08-22,72.338707,73.145164,72.311829,72.867386,60.952019,1405156
2016-08-23,73.396057,73.620071,72.903229,72.903229,60.982006,1167671
2016-08-24,73.055557,73.109322,71.827957,71.953407,60.187500,1563293
2016-08-25,71.388885,71.801079,69.587814,71.281364,59.625351,1778569
2016-08-26,71.120071,72.025093,70.806450,71.066307,59.445461,1657818
2016-08-29,71.191757,71.496414,70.976700,71.362007,59.692806,725846
2016-08-30,71.254478,71.370972,71.039429,71.093193,59.467949,887332
2016-08-31,70.537636,70.627243,70.215057,70.582436,59.040718,1677348
2016-09-01,69.991035,70.179214,69.641579,70.134407,58.665947,4204642
2016-09-02,70.833336,71.200714,70.707886,71.129028,59.497929,1509948
2016-09-06,71.505379,71.953407,71.406807,71.818993,60.075066,1461402
2016-09-07,72.078850,72.329750,71.872757,72.007172,60.232468,1816178
2016-09-08,72.159500,72.329750,71.836922,71.908600,60.150017,1639850
2016-09-09,71.388885,71.397850,70.465950,70.474907,58.950764,1980342
2016-09-12,70.734764,71.998207,70.689964,71.935486,60.172508,1549454
2016-09-13,71.299286,71.460571,70.654121,70.896057,59.303059,1442430
2016-09-14,70.869179,71.308243,70.725807,70.887100,59.295555,1335406
2016-09-15,70.788528,71.836922,70.609322,71.577065,59.872696,1406160
2016-09-16,71.281364,71.362007,70.905022,71.093193,59.467949,1240211
2016-09-19,71.523300,71.881721,71.478493,71.630821,59.917660,1535393
2016-09-20,72.759857,72.912186,72.571686,72.634407,60.757137,1497784
2016-09-21,72.625450,73.198921,72.222221,73.046593,61.101921,1459951
2016-09-22,73.422935,73.691757,73.297493,73.503586,61.484200,1779462
2016-09-23,72.688171,73.189964,72.661293,73.010750,61.071949,1150819
2016-09-26,72.616486,72.697136,72.204300,72.338707,60.509796,1394219
2016-09-27,71.550179,72.491035,71.424728,72.473122,60.622234,1658264
2016-09-28,72.768814,72.930107,72.258064,72.777779,60.877068,1669313
2016-09-29,72.159500,72.293907,70.869179,71.012543,59.400490,2149862
2016-09-30,70.259857,70.913979,70.143372,70.752686,59.183117,4057330
2016-10-03,70.734764,70.860214,70.519714,70.788528,59.213104,1297462
2016-10-04,70.761650,71.048386,70.349464,70.663078,59.108166,1511287
2016-10-05,70.896057,71.012543,70.645164,70.905022,59.310547,1044464
2016-10-06,70.492828,70.546593,70.224014,70.295700,58.800861,1096358
2016-10-07,70.385307,70.448029,69.677422,70.152328,58.680943,1593425
2016-10-10,69.086021,69.749107,69.032257,69.668457,58.276188,2900596
2016-10-11,69.184586,69.310036,68.646950,68.826164,57.571629,3919057
2016-10-12,67.965950,68.673836,67.732971,68.431900,57.241837,4538214
2016-10-13,66.917564,69.238350,66.854836,68.781364,57.534157,8801446
2016-10-14,68.745522,69.077065,68.181007,68.181007,57.031963,4513774
2016-10-17,67.777779,67.912186,67.473122,67.724014,56.649704,3369427
2016-10-18,68.001793,68.449821,67.939072,68.378136,57.196865,3248899
2016-10-19,68.001793,68.082436,67.759857,67.786736,56.702171,1754687
2016-10-20,67.706093,68.297493,67.688171,68.028671,56.904545,1922422
2016-10-21,67.320786,67.750893,67.249107,67.688171,56.619720,1996970
2016-10-24,67.060928,68.001793,67.007172,67.607529,56.552261,4785408
2016-10-25,65.241936,65.591400,64.928314,65.080643,54.438580,6841638
2016-10-26,63.897850,64.336922,63.584229,63.736561,53.314285,3550331
2016-10-27,64.632614,64.775986,64.014336,64.166664,53.674053,3244993
2016-10-28,64.193550,64.256271,63.629032,63.682796,53.269310,4868996
2016-10-31,64.265236,64.283157,63.575268,63.637993,53.231834,3520980
2016-11-01,63.637993,64.157707,63.566307,63.933693,53.479176,3344764
2016-11-02,64.480286,64.516129,63.781361,63.853046,53.411720,3566401
2016-11-03,63.817204,63.826164,62.580647,62.652328,52.407341,4534085
2016-11-04,62.965950,63.100357,62.759857,62.948029,52.654690,3335054
2016-11-07,63.467743,63.772400,63.360214,63.530464,53.141884,3107948
2016-11-08,63.799282,64.139786,63.494625,63.870968,53.426716,2392481
2016-11-09,65.994621,66.765236,65.394264,66.568100,55.682804,8172022
2016-11-10,66.111115,66.747314,65.689964,66.370972,55.517914,5834225
2016-11-11,66.084229,66.281364,65.385307,65.851257,55.083183,3167654
2016-11-14,64.256271,64.829750,64.220428,64.551971,53.996357,4502725
2016-11-15,63.790321,64.560928,63.655914,64.426521,53.891418,3210732
2016-11-16,64.041222,64.928314,64.041222,64.686378,54.108788,8151376
2016-11-17,64.910393,65.170250,64.677422,65.000000,54.371120,3512387
2016-11-18,63.879929,64.032257,63.216846,63.297489,52.947010,3198233
2016-11-21,62.670250,62.939068,62.616486,62.840504,52.564751,3130938
2016-11-22,61.568100,61.621864,60.600357,61.012547,51.035702,6064456
2016-11-23,60.421146,61.675629,60.286739,61.657707,51.575363,5416060
2016-11-25,62.858421,62.858421,62.293907,62.347672,52.152508,1975878
2016-11-28,62.302868,62.473118,61.872761,61.899643,51.777740,2530195
2016-11-29,61.818996,62.123657,61.693546,61.792114,51.687794,2042280
2016-11-30,62.231182,62.231182,61.603943,61.612904,51.537888,2443705
2016-12-01,61.146954,61.308243,60.519714,60.707886,50.780861,2679851
2016-12-02,60.627239,61.200718,60.546597,61.084229,51.095661,2761319
2016-12-05,61.523296,61.908604,61.379929,61.801075,51.695286,3334496
2016-12-06,61.702511,61.899643,61.424732,61.792114,51.687794,2382437
2016-12-07,61.586021,61.612904,60.940861,61.487453,51.432953,3557696
2016-12-08,60.080647,60.618279,59.973118,60.564514,50.660934,6043140
2016-12-09,61.962364,62.670250,61.908604,62.491039,52.272434,3592627
2016-12-12,61.944443,62.338711,61.836918,62.222221,52.047569,3575441
2016-12-13,63.673836,64.041222,63.637993,63.817204,53.381737,3591400
2016-12-14,64.166664,64.256271,63.405018,63.566307,53.171871,5634907
2016-12-15,63.799282,63.978497,63.503586,63.673836,53.261814,2877494
2016-12-16,64.068100,64.372757,63.951614,64.318993,53.801476,3837143
2016-12-19,64.399643,64.686378,64.139786,64.184586,53.689045,3189305
2016-12-20,64.569893,64.686378,64.193550,64.480286,53.936394,2952601
2016-12-21,64.605736,64.659500,64.068100,64.077065,53.599106,2150755
2016-12-22,64.623657,64.650536,64.229393,64.310036,53.793987,2669360
2016-12-23,64.453407,64.543015,64.238350,64.381721,53.853947,1641859
2016-12-27,65.008965,65.035843,64.489250,64.551971,53.996357,2095848
2016-12-28,64.955200,64.964157,64.166664,64.175629,53.681553,1768414
2016-12-29,65.179214,65.268814,64.856628,64.910393,54.296165,2455423
2016-12-30,65.483871,65.734764,65.044800,65.268814,54.595982,4105876
2017-01-03,65.313622,65.510750,64.928314,65.259857,54.588490,3759692
2017-01-04,64.686378,65.161293,64.453407,65.071686,54.431087,4088689
2017-01-05,66.039429,66.657707,65.752686,66.370972,55.517914,3825983
2017-01-06,65.922935,66.155914,65.806450,65.851257,55.083183,4077752
2017-01-09,66.021507,66.648743,65.797493,66.460571,55.592861,3249122
2017-01-10,66.577065,66.702507,66.353050,66.406807,55.547890,2369045
2017-01-11,65.752686,65.922935,64.390678,65.161293,54.506039,4203972
2017-01-12,64.265236,65.268814,64.238350,65.224014,54.558506,6082312
2017-01-13,65.197136,65.197136,64.767029,64.874550,54.266190,6863400
2017-01-17,64.086021,64.560928,63.817204,64.507172,53.958881,8265989
2017-01-18,64.363800,64.587814,64.247314,64.417564,53.883926,2931955
